Date,Q (m3/s)
2002-01-01,2317.2
2002-01-02,2193.2
2002-01-03,2124.4
2002-01-04,2093.2
2002-01-05,2053.0
2002-01-06,2008.2
2002-01-07,1909.8
2002-01-08,1813.0
2002-01-09,1804.2
2002-01-10,1841.2
2002-01-11,1854.0
2002-01-12,1748.6
2002-01-13,1688.0
2002-01-14,1666.0
2002-01-15,1655.0
2002-01-16,1655.0
2002-01-17,1655.0
2002-01-18,1651.0
2002-01-19,1591.2
2002-01-20,1485.4
2002-01-21,1388.0
2002-01-22,1343.0
2002-01-23,1350.2
2002-01-24,1422.2
2002-01-25,1470.0
2002-01-26,1496.2
2002-01-27,1453.6
2002-01-28,1402.4
2002-01-29,1397.0
2002-01-30,1398.8
2002-01-31,1462.8
2002-02-01,1536.6
2002-02-02,1548.2
2002-02-03,1494.6
2002-02-04,1434.8
2002-02-05,1411.4
2002-02-06,1472.0
2002-02-07,1536.6
2002-02-08,1532.8
2002-02-09,1407.8
2002-02-10,1327.8
2002-02-11,1362.8
2002-02-12,1409.6
2002-02-13,1345.2
2002-02-14,1276.2
2002-02-15,1233.0
2002-02-16,1239.4
2002-02-17,1281.6
2002-02-18,1292.0
2002-02-19,1283.0
2002-02-20,1292.0
2002-02-21,1312.2
2002-02-22,1319.0
2002-02-23,1273.0
2002-02-24,1228.2
2002-02-25,1291.8
2002-02-26,1312.2
2002-02-27,1300.0
2002-02-28,1300.0
2002-03-01,1318.8
2002-03-02,1335.0
2002-03-03,1343.0
2002-03-04,1333.2
2002-03-05,1305.6
2002-03-06,1256.0
2002-03-07,1206.4
2002-03-08,1161.6
2002-03-09,1108.6
2002-03-10,1069.4
2002-03-11,1053.0
2002-03-12,1051.6
2002-03-13,1044.4
2002-03-14,996.4
2002-03-15,956.0
2002-03-16,911.6
2002-03-17,878.6
2002-03-18,864.2
2002-03-19,865.6
2002-03-20,873.0
2002-03-21,867.0
2002-03-22,851.6
2002-03-23,841.0
2002-03-24,829.0
2002-03-25,823.0
2002-03-26,817.0
2002-03-27,823.0
2002-03-28,827.8
2002-03-29,794.4
2002-03-30,755.2
2002-03-31,724.4
2002-04-01,885.8
2002-04-02,910.6
2002-04-03,949.4
2002-04-04,978.8
2002-04-05,991.4
2002-04-06,999.8
2002-04-07,994.2
2002-04-08,997.0
2002-04-09,1006.8
2002-04-10,1021.2
2002-04-11,997.0
2002-04-12,998.4
2002-04-13,1018.0
2002-04-14,1018.0
2002-04-15,1019.6
2002-04-16,1040.0
2002-04-17,1051.8
2002-04-18,1028.8
2002-04-19,1026.0
2002-04-20,1026.0
2002-04-21,1037.2
2002-04-22,1027.4
2002-04-23,1065.0
2002-04-24,1114.8
2002-04-25,1191.4
2002-04-26,1226.6
2002-04-27,1290.8
2002-04-28,1342.0
2002-04-29,1364.4
2002-04-30,1346.8
2002-05-01,1333.0
2002-05-02,1318.0
2002-05-03,1287.4
2002-05-04,1262.4
2002-05-05,1239.4
2002-05-06,1260.6
2002-05-07,1285.6
2002-05-08,1323.0
2002-05-09,1368.0
2002-05-10,1368.0
2002-05-11,1316.0
2002-05-12,1317.8
2002-05-13,1350.0
2002-05-14,1369.8
2002-05-15,1419.2
2002-05-16,1469.6
2002-05-17,1417.4
2002-05-18,1362.6
2002-05-19,1430.0
2002-05-20,1449.8
2002-05-21,1521.6
2002-05-22,1654.8
2002-05-23,1801.4
2002-05-24,2106.8
2002-05-25,2493.2
2002-05-26,2773.2
2002-05-27,2918.0
2002-05-28,2964.8
2002-05-29,3092.0
2002-05-30,3044.0
2002-05-31,2955.8
2002-06-01,2886.0
2002-06-02,2866.4
2002-06-03,2801.0
2002-06-04,2753.4
2002-06-05,2701.2
2002-06-06,2511.0
2002-06-07,2359.8
2002-06-08,2497.8
2002-06-09,2553.0
2002-06-10,2593.0
2002-06-11,2652.2
2002-06-12,2789.8
2002-06-13,3017.2
2002-06-14,3134.0
2002-06-15,3170.2
2002-06-16,3238.2
2002-06-17,3443.6
2002-06-18,3824.4
2002-06-19,4355.6
2002-06-20,4847.6
2002-06-21,5263.2
2002-06-22,5608.2
2002-06-23,6293.6
2002-06-24,6453.8
2002-06-25,6711.6
2002-06-26,6807.4
2002-06-27,6807.2
2002-06-28,6873.8
2002-06-29,6822.6
2002-06-30,6621.4
2002-07-01,6557.2
2002-07-02,6656.0
2002-07-03,6987.4
2002-07-04,8065.6
2002-07-05,8878.8
2002-07-06,9448.0
2002-07-07,11609.6
2002-07-08,15270.2
2002-07-09,18828.8
2002-07-10,20088.2
2002-07-11,21209.2
2002-07-12,21927.0
2002-07-13,21707.2
2002-07-14,21751.0
2002-07-15,21467.8
2002-07-16,20380.2
2002-07-17,19573.6
2002-07-18,18316.6
2002-07-19,16947.2
2002-07-20,15646.2
2002-07-21,15262.8
