Lead,Model,MAE,R2,RMSE
5,ANN,2701.8843456544946,0.9147939267951452,4404.546377788374
5,ARIMA,2907.660567646018,0.8949061242718296,4892.254639918654
5,CNN,3150.8981336349643,0.8846998244646848,5124.110765452387
5,LSTM,3569.834829093584,0.8495737932994065,5843.1505882222455
5,MORN,2435.0,0.94,3567.0
5,RNN,2417.6550390134894,0.9279821469238706,4049.8082091979363
5,SARIMAX,16809.834092678226,-1.2469127104195317,22621.085957691597
7,ANN,3721.4549777484776,0.8442897231898874,5931.8325366286
7,ARIMA,4298.941025214379,0.7738868599113026,7148.259284985343
7,CNN,4175.108758778576,0.8063135009254405,6615.654288889076
7,LSTM,4810.258784256433,0.7474914830709651,7490.662851476711
7,MORN,3028.0,0.91,4389.0
7,RNN,3523.1885187153202,0.8577079725769212,5670.353989120676
7,SARIMAX,17058.24223132606,-1.2966610408537838,22781.685289350593
10,ANN,5140.832691941793,0.718258220224028,7921.027170077615
10,ARIMA,6192.628560298074,0.5224473594907217,10312.562536357069
10,CNN,5455.382292874832,0.6850675947374961,8374.505500656463
10,LSTM,6352.202501009084,0.5857756785264642,9592.290641564961
10,MORN,3580.0,0.871,5367.0
10,RNN,4921.466528447589,0.7380316306314997,7637.9328982107545
10,SARIMAX,17389.887391025186,-1.3690275389486164,22968.94376265031
